Sci name,ARK or DOI,Object,ID,side,NCBI,Rmax,Rmin,Rmed,L art,# trochlea,Morph_type,Long(mm),Mult,
Didelphis virginiana,ark:/87602/m4/399433,dmu:mamm:005,ID 000399433,right,9267,,,,,1,Type I ,69.92,1,ok
Didelphis marsupialis,ark:/87602/m4/M86079,nhmuk:zoo:1948.7.12.5,ID 000086079,,9268,,,,,1,Type I ,61.56,1,ok
Dasyurus hallucatus,ark:/87602/m4/M82293,mnh:mammals:119804 ,ID 000082293,,9280,,,,,1,Type I ,39.47,1,ok
Dasyurus maculatus,ark:/87602/m4/M68242,umzc:vertebrates:a6. 10/3,ID 000068242,,9281,,,,,1,Type I ,68.79,1,ok
Antechinus stuartii,ark:/87602/m4/M82265,fmnh:mammals:129556,ID 000082265,,9283,,,,,1,Type I ,15.14,1,ok
Sminthopsis crassicaudata,ark:/87602/m4/M82325,fmnh:mammals:72923,ID 000082325,,9301,,,,,1,Type I ,11.75,1,ok
Sarcophilus harrisii,ark:/87602/m4/M86127,nhmuk:zoo:2003.331,ID 000086127,,9305,,,,,1,Type I ,99.44,1,ok
Sarcophilus harrisii,ark:/87602/m4/447372,SAMA:Mammalogy:M2153,ID 000447372,left,9305,,,,,1,Type I ,109.3,1,ok
Trichosurus vulpecula,ark:/87602/m4/M68234,mzc:vertebrates:a9.16/7 ,ID 000068234,,9337,,,,,1,Type I ,78.06,1,ok
Canis lupus,ark:/87602/m4/M106364,imnh:r:831,ID 000106364,left,9612,,,,,1,Type I ,141.4,1,ok
Canis lupus,ark:/87602/m4/M107516,imnh:r:844,ID 000107516,,9612,,,,,1,Type I ,196.6,1,ok
Canis lupus,ark:/87602/m4/M25741,ncsu:cvm:31,ID 000025741,right,9612,,,,,1,Type I ,192.6,1,ok
Canis lupus,ark:/87602/m4/M25754,ncsu:cvm:31,ID 000025754,left,9612,,,,,1,Type I ,194.5,1,ok
Canis lupus,ark:/87602/m4/M31840,uf:mammals:8379,ID 000031840,right,9612,,,,,1,Type I ,141.8,1,ok
Canis lupus,ark:/87602/m4/388442,dmu:mamm:003,ID 000388442,,9612,,,,,1,Type I ,166.2,1,ok
Canis latrans,ark:/87602/m4/M31861,uf:mammals:13412,ID 000031861,right,9614,,,,,1,Type I ,160.1,1,ok
Canis latrans,ark:/87602/m4/M106752,imnh:r:396,ID 000106752,,9614,,,,,1,Type I ,162.2,1,ok
Canis latrans,ark:/87602/m4/382997,L-rhd,ID 000382997,,9614,,,,,1,Type I ,157.1,1,ok
Canis latrans,ark:/87602/m4/388359,mu:mamm:002 ,ID 000388359,right,9614,,,,,1,Type I ,157.1,1,ok
Vulpes vulpes,ark:/87602/m4/M31944,uf:mammals:14189,ID 000031944,right,9627,,,,,1,Type I ,126.4,1,ok
Vulpes vulpes,ark:/87602/m4/M105316,imnh:r:94 ,ID 000105316,,9627,,,,,1,Type I ,130.9,1,ok
Helarctos malayanus,ark:/87602/m4/446974,amnh:mammals:m-35364,ID 000446974,left,9634,,,,,1,Type I ,224.1,1,ok
Melursus ursinus,ark:/87602/m4/446957,AMNH:Mammals:M-22896,ID 000446957,left,9636,,,,,1,Type I ,229.9,1,ok
Tremarctos ornatus,ark:/87602/m4/446883,AMNH:Mammals:M-100010,ID 000446883,left,9638,,,,,1,Type I ,209.4,1,ok
Ursus arctos,ark:/87602/m4/M120221,imnh:r:2400,ID 000120221,,9644,,,,,1,Type I ,294.1,1,ok
Ursus arctos,ark:/87602/m4/M120223,imnh:r:2400,ID 000120223,,9644,,,,,1,Type I ,296.5,1,ok
Ursus arctos,ark:/87602/m4/M123500,mvz:mammal specimens:4385,ID 000123500,left,9644,,,,,1,Type I ,383.6,1,ok
Ursus arctos,ark:/87602/m4/427757,UWBM:http://arctos.database.museum/collection/UWBM:Mamm:UWBM:Mamm:39916,ID 000427757,right,9644,,,,,1,Type I ,409.5,1,ok
Procyon lotor,ark:/87602/m4/M110218,imnh:r:909,ID 000110218,left,9654,,,,,1,Type I ,92.04,1,ok
Procyon lotor,ark:/87602/m4/M110282,imnh:r:909,ID 000110282,right,9654,,,,,1,Type I ,91.25,1,ok
Felis catus,ark:/87602/m4/M31869,uf:mammals:8614,ID 000031869,right,9685,,,,,1,Type I ,93,1,ok
Felis catus,ark:/87602/m4/382988,L-rhd,ID 000382988,,9685,,,,,1,Type I ,115.3,1,ok
Felis catus,ark:/87602/m4/388304,mu:mamm:001 ,ID 000388304,right,9685,,,,,1,Type I ,115.4,1,ok
Panthera leo,ark:/87602/m4/M31932,uf:mammals:8428,ID 000031932,right,9689,,,,,1,Type I ,307.8,1,ok
Panthera pardus,ark:/87602/m4/M119883,imnh:r:2372 ,ID 000119883,left,9691,,,,,1,Type I ,213.4,1,ok
Panthera pardus,ark:/87602/m4/M119885,imnh:r:2372 ,ID 000119885,right,9691,,,,,1,Type I ,207.3,1,ok
Panthera tigris,ark:/87602/m4/M123256,mvz:mammal specimens:189634,ID 000123256,right,9694,,,,,1,Type I ,305.3,1,ok
Puma concolor,ark:/87602/m4/M31935,uf:mammals:25908,ID 000031935,right,9696,,,,,1,Type I ,237.8,1,ok
Puma concolor,ark:/87602/m4/M104608,imnh:r:996,ID 000104608,left,9696,,,,,1,Type I ,239.3,1,ok
Elephas maximus,ark:/87602/m4/M168766,Imnh:1486,ID 000168766,left,9783,,,,,1,Type I ,797,1,ok
Elephas maximus,ark:/87602/m4/M168768,Imnh:1486,ID 000168768,right,9783,,,,,1,Type I ,797.9,1,ok
Equus zebra,ark:/87602/m4/M121651,imnh:r:2425,ID 000121651,left,9791,,,,,2,Type 2,251.8,1,ok
