,NCBI,massI,massS,massAvg,refmass,Maxspeed,refspeed,speedHirt,spdMissing,Stance,Diet,D3files,nofiles,Long,Rmax,Rmin,Rmed,La,LrL,LrLa,LrRmin,LrRmax,LrRmed,Morphotype,Sci_name,common_name,lineage,lineage_names,order,family
10137,10137,10.0,30.0,20.0,ADW,,,54.11569867112709,54.11569867112709,Plantigrade,herbivore,['ID 000447002'],1,110.4,7.455610778877303,3.3615579802630715,5.684555870333561,20.17585414102994,110.4,20.17585414102994,3.3615579802630715,7.455610778877303,5.684555870333561,1,Hystrix cristata,crested porcupine,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314146, 314147, 9989, 33550, 10135, 10136, 10137]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Hystricomorpha', 'Hystricidae', 'Hystrix', 'Hystrix cristata']",Rodentia,Hystricidae
10149,10149,35.0,66.0,50.5,Iriarte-diaz_2002_differential scaling of locomotor performance in small and large mammals,35.0,https://currumbinsanctuary.com.au/stories/blogs/10-facts-about-capybaras-worlds-largest-rodents,61.964656065966864,35.0,Digitigrade,herbivore,['ID 000158236'],1,175.2,13.256734198596456,6.062720215854197,9.608203627238641,28.68892216190895,175.2,28.68892216190895,6.062720215854197,13.256734198596456,9.608203627238641,2,Hydrochoerus hydrochaeris,capybara,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314146, 314147, 9989, 33550, 10147, 10148, 10149]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Hystricomorpha', 'Hydrochaeridae', 'Hydrochoerus', 'Hydrochoerus hydrochaeris']",Rodentia,Hydrochaeridae
10157,10157,5.0,10.0,7.5,ADW,,,42.997700671352504,42.997700671352504,Plantigrade,herbivore,"['ID 000118959', 'ID 000119027', 'ID 000158266']",3,68.32666666666667,4.56245966901308,2.495268347717435,3.4412903000569273,12.960859734319145,69.42,13.311396419446794,2.329772056446709,4.6519854440453985,3.395890603895138,1,Myocastor coypus,nutria,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314146, 314147, 9989, 33550, 10155, 10156, 10157]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Hystricomorpha', 'Myocastoridae', 'Myocastor', 'Myocastor coypus']",Rodentia,Myocastoridae
102233,102233,1200.0,1500.0,1350.0,Mammals Species,42.0,https://animalia.bio/,41.97060017212195,42.0,Ungulates,herbivore,"['ID 000365850', 'ID 000365897', 'ID 000367406']",3,447.40000000000003,47.35208546677456,23.33022524670278,34.48936199284346,102.34314466066341,456.3,102.09651921965079,21.18872290644643,44.46349451009626,32.514189984597934,1,Rhinoceros sondaicus,Javan rhinoceros,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314145, 9787, 9803, 9808, 102233]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Laurasiatheria', 'Perissodactyla', 'Rhinocerotidae', 'Rhinoceros', 'Rhinoceros sondaicus']",Perissodactyla,Rhinocerotidae
126286,126286,0.45,0.45,0.45,ADW,,,20.719316950693056,20.719316950693056,Plantigrade,omnivore,['ID 000082284'],1,38.58,1.9645331394048635,0.7073888366316375,1.3544738618791077,8.286552927646598,38.58,8.286552927646598,0.7073888366316375,1.9645331394048635,1.3544738618791077,1,Caluromysiops irrupta,black-shouldered opossum,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9263, 38605, 9265, 126284, 126285, 126286]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Metatheria', 'Didelphimorphia', 'Didelphidae', 'Caluromyinae', 'Caluromysiops', 'Caluromysiops irrupta']",Didelphimorphia,Didelphidae
143289,143289,0.04,0.05,0.045,https://www.gbif.org/,,,11.386111542816957,11.386111542816957,Plantigrade,omnivore,"['ID 000032449', 'ID 000033722']",2,21.564999999999998,0.9246568609168526,0.5139883513527731,0.697437970594208,2.7099235606954943,21.58,2.726116194488374,0.5090563418321705,0.9145873181640137,0.6963055009147376,1,Tupaia minor,Na,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314146, 9392, 9393, 9394, 143289]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Scandentia', 'Tupaiidae', 'Tupaia', 'Tupaia minor']",Scandentia,Tupaiidae
1543402,1543402,1.0,2.0,1.5,ADW,,,28.335044156786275,28.335044156786275,Plantigrade,herbivore,['ID 000158226'],1,55.52,3.2844866123100203,1.9015948320340583,2.557772952452072,10.006222977543452,55.52,10.006222977543452,1.9015948320340583,3.2844866123100203,2.557772952452072,1,Geocapromys brownii,Jamaician hutia,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 1437010, 314146, 314147, 9989, 33550, 30644, 1543401, 1543402]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Boreoeutheria', 'Euarchontoglires', 'Glires', 'Rodentia', 'Hystricomorpha', 'Capromyidae', 'Geocapromys', 'Geocapromys brownii']",Rodentia,Capromyidae
1756220,1756220,1.0,10.0,5.5,ADW,9.0,Costa_2017_Armadilo,39.707735806676475,9.0,Digitigrade,carnivore,['ID 000158216'],1,47.02,2.409328796311819,1.4053454034746211,1.9418129274161917,9.570111233959544,47.02,9.570111233959544,1.4053454034746211,2.409328796311819,1.9418129274161917,2,Dasypus hybridus,southern long-nosed armadillo,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 9348, 948951, 9359, 9360, 1756220]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Xenarthra', 'Cingulata', 'Dasypodidae', 'Dasypus', 'Dasypus hybridus']",Cingulata,Dasypodidae
183749,183749,1.0,2.0,1.5,https://www.gbif.org/,48.28,https://a-z-animals.com/,28.335044156786275,48.28,Ungulates,omnivore,['ID 000158276'],1,44.68,2.7583525768519124,1.1845100298542612,2.0205807887355323,9.99560491359924,44.68,9.99560491359924,1.1845100298542612,2.7583525768519124,2.0205807887355323,2,Tolypeutes matacus,Na,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9347, 9348, 948951, 1811493, 183748, 183749]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Eutheria', 'Xenarthra', 'Cingulata', 'Chlamyphoridae', 'Tolypeutes', 'Tolypeutes matacus']",Cingulata,Chlamyphoridae
190720,190720,0.01,0.01,0.01,Makarov_2021_Running of the Acrobatespygmaeus,6.34,Makarov_2021_Running of the Acrobatespygmaeus,7.7008768870251405,6.34,Plantigrade,omnivore,['ID 000052804'],1,12.67,0.5701029793221515,0.2783190070841886,0.4359476910627622,2.2774414243846106,12.67,2.2774414243846106,0.2783190070841886,0.5701029793221515,0.4359476910627622,1,Acrobates pygmaeus,Na,"[1, 131567, 2759, 33154, 33208, 6072, 33213, 33511, 7711, 89593, 7742, 7776, 117570, 117571, 8287, 1338369, 32523, 32524, 40674, 32525, 9263, 38609, 38612, 190719, 190720]","['root', 'cellular organisms', 'Eukaryota', 'Opisthokonta', 'Metazoa', 'Eumetazoa', 'Bilateria', 'Deuterostomia', 'Chordata', 'Craniata', 'Vertebrata', 'Gnathostomata', 'Teleostomi', 'Euteleostomi', 'Sarcopterygii', 'Dipnotetrapodomorpha', 'Tetrapoda', 'Amniota', 'Mammalia', 'Theria', 'Metatheria', 'Diprotodontia', 'Acrobatidae', 'Acrobates', 'Acrobates pygmaeus']",Diprotodontia,Acrobatidae
