Hystrix cristata
Hydrochoerus hydrochaeris
Myocastor coypus
Rhinoceros sondaicus
Caluromysiops irrupta
Tupaia minor
Geocapromys brownii
Dasypus hybridus
Tolypeutes matacus
Acrobates pygmaeus
Urogale everetti
Bubalus depressicornis
Ursus maritimus
Vombatus ursinus
Bos frontalis
Bos grunniens
Taxidea taxus
Lasiorhinus latifrons
Ceratotherium simum cottoni
Ptilocercus lowii
Tupaia palawanensis
Canis simensis
Acinonyx jubatus
Leopardus pardalis
Erethizon dorsatum
Rupicapra rupicapra
Naemorhedus goral
Oreamnos americanus
Saiga tatarica
Ovibos moschatus
Hemitragus jemlahicus
Hippotragus equinus
Gazella dorcas
Oryx leucoryx
Neogale vison
Gulo gulo
Cephalophus silvicultor
Castor canadensis
Myrmecobius fasciatus
Tapirus bairdii
Addax nasomaculatus
Alcelaphus buselaphus
Antidorcas marsupialis
Antilope cervicapra
Ourebia ourebi
Pseudois nayaur
Redunca arundinum
Hemibelideus lemuroides
Felis margarita
Lynx rufus
Caracal caracal
Leptailurus serval
Neofelis nebulosa
Echymipera rufescens
Isoodon obesulus
Tragelaphus scriptus
Oreotragus oreotragus
Speothos venaticus
Eudorcas thomsonii
Tupaia tana
Tetracerus quadricornis
Pekania pennanti
Bubalus bubalis
Dicerorhinus sumatrensis
Didelphis virginiana
Didelphis marsupialis
Dasyurus hallucatus
Dasyurus maculatus
Antechinus stuartii
Sminthopsis crassicaudata
Sarcophilus harrisii
Trichosurus vulpecula
Genetta genetta
Canis lupus
Canis latrans
Canis lupus familiaris
Vulpes vulpes
Helarctos malayanus
Melursus ursinus
Tremarctos ornatus
Ursus arctos
Procyon lotor
Felis catus
Panthera leo
Panthera pardus
Panthera tigris
Puma concolor
Elephas maximus
Equus zebra
Equus asinus
Equus caballus
Tapirus indicus
Diceros bicornis
Ceratotherium simum
Rhinoceros unicornis
Orycteropus afer
Camelus dromedarius
Lama glama
Cervus elaphus
Odocoileus hemionus
Odocoileus virginianus
Antilocapra americana
Giraffa camelopardalis
Ammotragus lervia
Bison bison
Bos javanicus
Bos taurus
Boselaphus tragocamelus
Capra hircus
Connochaetes taurinus
Ovis aries
Tragelaphus oryx
Oryx gazella
Kobus ellipsiprymnus
Capricornis crispus
Syncerus caffer
Marmota monax

