Species,Body mass,Ref,mass_hum,mass_hand,mass_rad,Cmz_hum,Cmz_hand,Cmz_rad,I0yy_hum,I0yy_hand,I0yy_rad,L Hum,Lrad,Iebw_hum,Iebw_hand,Iebw_rad,All,lower,percentage
Acinonyx jubatus,39,,1.31E+00,2.07E-01,4.60E-01,0.11699,7.75E-02,1.37E-01,5.46E-03,4.51E-04,2.56E-03,1.56E-01,1.90E-01,7.47E-03,1.52E-02,1.11E-02,3.38E-02,2.64E-02,0.78
Cynomys ludovicianus,1.125,,1.70E-02,2.17E-03,9.55E-03,1.84E-02,9.93E-03,2.80E-02,2.53E-06,1.00E-07,1.37E-06,5.20E-02,4.49E-02,2.17E-05,6.63E-06,8.85E-06,3.71E-05,1.55E-05,0.42
Felis catus,4.75,,5.36E-02,1.07E-02,2.96E-02,5.54E-02,5.36E-02,4.93E-02,3.31E-05,2.41E-06,1.91E-05,8.12E-02,8.07E-02,6.88E-05,1.96E-04,9.11E-05,3.56E-04,2.87E-04,0.81
Hemicentetes semispinosus,0.18,,5.12E-03,5.95E-04,1.84E-03,2.23E-02,4.20E-03,1.67E-02,4.40E-07,2.00E-08,1.10E-07,2.95E-02,2.13E-02,7.00E-07,4.07E-07,6.23E-07,1.73E-06,1.03E-06,0.60
Hydrochaeris hydrochaeris,50.5,,5.19E-01,2.00E-01,3.57E-01,8.30E-02,5.33E-02,7.31E-02,1.32E-03,2.28E-04,7.31E-04,1.69E-01,2.11E-01,5.16E-03,1.42E-02,2.64E-03,2.20E-02,1.68E-02,0.77
Leopardus geoffroyi,4.3,,7.33E-02,1.39E-02,4.15E-02,5.55E-02,2.77E-02,4.79E-02,4.70E-05,3.67E-06,2.44E-05,7.88E-02,7.75E-02,8.68E-05,1.58E-04,1.20E-04,3.64E-04,2.78E-04,0.76
Lutra lutra,6.7,,1.10E-01,1.99E-02,8.35E-02,5.17E-02,3.01E-02,6.52E-02,6.86E-05,5.81E-06,5.62E-05,9.04E-02,9.28E-02,2.34E-04,3.06E-04,4.11E-04,9.51E-04,7.16E-04,0.75
Martes melampus,1.25,,4.11E-02,9.44E-03,1.95E-02,3.59E-02,2.28E-02,3.76E-02,1.48E-05,1.98E-06,5.71E-06,5.37E-02,4.69E-02,2.79E-05,4.79E-05,3.32E-05,1.09E-04,8.11E-05,0.74
Meles anakuma,7.45,,2.03E-01,2.98E-02,9.75E-02,6.31E-02,2.47E-02,5.75E-02,1.97E-04,8.16E-06,6.60E-05,9.34E-02,9.68E-02,3.84E-04,4.48E-04,3.88E-04,1.22E-03,8.36E-04,0.69
Nyctereutes procyonoides,5.23,,8.04E-02,2.05E-02,3.71E-02,6.18E-02,2.64E-02,4.07E-02,7.04E-05,5.80E-06,2.08E-05,8.37E-02,8.39E-02,1.09E-04,2.56E-04,8.24E-05,4.47E-04,3.38E-04,0.76
Paguma larvata,4.3,,4.35E-02,1.18E-02,2.84E-02,3.75E-02,2.16E-02,3.61E-02,2.14E-05,2.13E-06,1.06E-05,7.88E-02,7.75E-02,9.57E-05,1.18E-04,4.77E-05,2.62E-04,1.66E-04,0.63
Procyon lotor,7.5,,1.48E-01,2.24E-02,6.75E-02,5.23E-02,3.00E-02,4.30E-02,1.41E-04,6.96E-06,5.88E-05,9.36E-02,9.71E-02,3.94E-04,3.69E-04,1.84E-04,9.47E-04,5.53E-04,0.58
Rattus norvegicus,0.32,,6.27E-03,6.67E-04,2.64E-03,1.91E-02,8.33E-03,1.64E-02,6.80E-07,2.00E-08,2.10E-07,3.52E-02,2.69E-02,2.31E-06,8.49E-07,9.19E-07,4.08E-06,1.77E-06,0.43
Sus scrofa,169,,1.28E-01,5.16E-02,8.96E-02,5.53E-02,3.99E-05,4.73E-02,1.23E-04,3.99E-05,8.71E-05,2.46E-01,3.45E-01,4.78E-03,6.17E-03,2.87E-04,1.12E-02,6.46E-03,0.57
Ursus maritimus,265,,2.56E+00,6.61E-01,2.29E+00,1.07E-01,7.19E-02,1.27E-01,2.09E-02,1.88E-03,1.71E-02,2.83E-01,4.14E-01,1.00E-01,1.58E-01,5.43E-02,3.12E-01,2.12E-01,0.68
